combo,seed,objective,base_auc,ext_auc,comb_no_auc,comb_ext_auc,n_no,n_ext,weighted_imp
c1_CompanyType,42,0.002614,0.7554,0.7753,0.7603,0.7768,1228,2604,-0.0025895615866388744
c1_CompanyType,43,-0.000704,0.7837,0.8003,0.7801,0.801,1228,2604,0.0006779749478078897
c1_CompanyType,44,0.000942,0.7459,0.7813,0.7435,0.7838,1228,2604,-0.0009297494780793848
c1_CompanyType,45,-0.00039,0.7527,0.7669,0.7533,0.766,1228,2604,0.0004193110647181921
c1_CompanyType,46,0.007079,0.7584,0.7812,0.7649,0.7885,1228,2604,-0.0070436325678496885
c2_CompanySize,42,-0.00478,0.7408,0.7985,0.738,0.7929,1188,2644,0.004731941544885142
c2_CompanySize,43,-0.001013,0.7528,0.7641,0.758,0.7602,1188,2644,0.001078810020876842
c2_CompanySize,44,0.003483,0.749,0.7689,0.7611,0.7685,1188,2644,-0.0034752609603339833
c2_CompanySize,45,0.005622,0.718,0.7865,0.7257,0.7912,1188,2644,-0.005630062630480205
c2_CompanySize,46,0.004677,0.7354,0.7986,0.7435,0.8017,1188,2644,-0.004650104384133605
c3_Gender,42,0.001099,0.7714,0.8044,0.7703,0.8062,902,2930,-0.0011173799582463674
c3_Gender,43,0.001228,0.7721,0.806,0.7683,0.8088,902,2930,-0.0012464509394571304
c3_Gender,44,-0.004201,0.8228,0.7993,0.816,0.7959,902,2930,0.0042003131524008105
c3_Gender,45,-0.000572,0.7934,0.806,0.7955,0.8046,902,2930,0.0005761482254697828
c3_Gender,46,-0.001108,0.7911,0.813,0.7906,0.8117,902,2930,0.001111691022964498
c4_MajorDisc,42,0.001041,0.7976,0.8024,0.8001,0.8032,563,3269,-0.0010497651356994016
c4_MajorDisc,43,-0.000972,0.7951,0.8119,0.7939,0.8109,563,3269,0.0010293841336116887
c4_MajorDisc,44,0.00123,0.7587,0.8074,0.7641,0.808,563,3269,-0.0013052192066806169
c4_MajorDisc,45,0.000883,0.7349,0.8002,0.7316,0.8018,563,3269,-0.0008800887265135188
c4_MajorDisc,46,-9e-05,0.7931,0.8053,0.7907,0.8056,563,3269,9.668580375786707e-05
c5_TypeAndSize,42,0.008893,0.7318,0.7783,0.7504,0.7834,1072,2760,-0.008876617954070963
c5_TypeAndSize,43,0.012548,0.673,0.7734,0.7091,0.7768,1072,2760,-0.01254780793319418
c5_TypeAndSize,44,0.007686,0.7162,0.7753,0.7483,0.7735,1072,2760,-0.007683507306889341
c5_TypeAndSize,45,0.008304,0.7254,0.7723,0.7362,0.7796,1072,2760,-0.00827912317327762
c5_TypeAndSize,46,0.005188,0.7108,0.7938,0.737,0.7909,1072,2760,-0.00524070981210863
c6_TypeAndGender,42,0.002657,0.7456,0.814,0.74,0.8175,341,3491,-0.0026902139874739528
c6_TypeAndGender,43,0.001469,0.7498,0.8016,0.7466,0.8035,341,3491,-0.0014461638830897837
c6_TypeAndGender,44,-0.000545,0.7696,0.7999,0.7714,0.7991,341,3491,0.0005686325678497056
c6_TypeAndGender,45,0.00124,0.7057,0.8021,0.7071,0.8034,341,3491,-0.0013088987473903635
c6_TypeAndGender,46,0.001582,0.761,0.8098,0.7636,0.8113,341,3491,-0.0015978862212944094
