dataset,our_base_mean,our_base_std,our_ext_mean,our_ext_std,bl_base_mean,bl_base_std,bl_ext_mean,bl_ext_std,wimp_mean,wimp_std,n_no,n_ext
BankLoanSta,0.67612,0.009029230310497167,0.7718200000000001,0.010846750665521928,0.662,0.002603843313258345,0.76572,0.01462521794709398,0.011121525000000021,0.009826510581902936,12535,7465
ClientRecordV2,0.85344,0.01359661722635449,0.9497399999999999,0.014100815579249335,0.8507,0.015023315213360868,0.9529399999999999,0.009693193488216366,0.00042976579134136795,0.002833667667243965,861,548
CreditRisk,0.74916,0.0027153268679847753,0.74784,0.012901666559014773,0.7492,0.0024969981978367308,0.74716,0.016731945493576043,3.49699999999832e-05,0.00038047873170682757,14334,1666
DiabetesRecord,0.67466,0.003924665590849771,0.66902,0.0038577195336105085,0.6758,0.004762877281643914,0.6713,0.0025903667693977636,-0.0018101434607448064,0.0020190555290681067,8389,11965
FlightDelay,0.69704,0.029930720004704203,0.69762,0.002398332754227414,0.69416,0.02945459217168012,0.6964400000000001,0.002765501762791007,0.0012650000000000018,0.002967378893906206,1000,19000
HRAnalytics,0.7392000000000001,0.0136696744657655,0.78332,0.016212402659692347,0.74526,0.014591195975656007,0.7828999999999999,0.017642137058757952,-0.0015889352818371616,0.004368353235056356,1188,2644
WIDS,0.89014,0.0066665583324530845,0.8750399999999999,0.006253239160627072,0.88906,0.0064986921761228025,0.8762800000000001,0.006025529022417853,0.00010927547293244127,0.0009240445873679223,10668,7675
Weather,0.8398199999999999,0.01148768906264437,0.8745799999999999,0.012512873371052712,0.8397600000000001,0.010982622637603417,0.87436,0.011969878863213296,0.0001203519999999951,0.0010099777761515363,3114,1886
WeatherAUS,0.8847400000000001,0.002472448179436737,0.90046,0.0023974986965585375,0.88468,0.0022829805080201862,0.90126,0.0016786899654194594,-0.0005334329617778428,0.000803203420220661,8815,19624
